"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 20","514.40","543.56","596.80","505.99","712.03K","-5.36%"
"Oct 20","543.56","562.50","619.97","533.23","25.49M","-2.90%"
"Sep 20","559.78","615.63","620.00","540.00","17.51M","-9.70%"
"Aug 20","619.93","634.84","660.00","590.71","13.00M","-1.92%"
"Jul 20","632.07","625.00","664.64","596.02","16.79M","1.35%"
"Jun 20","623.65","605.00","646.33","575.89","25.29M","1.77%"
"May 20","612.81","524.23","615.36","514.55","39.44M","16.53%"
"Apr 20","525.88","484.14","574.32","476.45","23.57M","7.70%"
"Mar 20","488.29","445.00","518.00","418.01","37.90M","9.83%"
"Feb 20","444.57","339.69","470.00","339.39","25.18M","31.55%"
"Jan 20","337.94","378.00","396.47","328.13","16.15M","-10.00%"
"Dec 19","375.48","368.18","382.25","357.00","15.16M","1.76%"
"Nov 19","369.00","309.00","372.59","307.44","18.61M","20.48%"
"Oct 19","306.28","277.27","313.39","272.26","15.50M","10.41%"
"Sep 19","277.40","289.20","299.98","271.37","13.79M","-4.36%"
"Aug 19","290.05","306.68","313.93","279.39","14.66M","-4.83%"
"Jul 19","304.76","317.61","320.76","287.66","17.64M","-2.63%"
"Jun 19","313.00","301.13","327.83","295.27","17.38M","3.74%"
"May 19","301.72","343.04","345.44","295.73","20.25M","-12.07%"
"Apr 19","343.14","412.51","415.89","329.00","18.33M","-16.43%"
"Mar 19","410.62","434.80","442.00","388.49","15.04M","-4.67%"
"Feb 19","430.74","428.52","434.35","399.29","11.18M","0.34%"
"Jan 19","429.27","368.15","430.58","366.01","16.97M","14.93%"